# ----------------------------------------,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
# 1 Master View,,,,,,,,,
# Paid Search Traffic,,,,,,,,,
# 20190501-20190531,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Keyword,Users,New Users,Sessions,Bounce Rate,Pages/Session,Avg. Session Duration,E-commerce Conversion Rate,Transactions,Revenue
Google Merchandise Store,1051,753,1455,0.2729,5.62,00:03:41,0.0034,5,US$256.96
(not set),546,346,759,0.2978,5.32,00:03:18,0.0013,1,US$12.99
google merch,103,82,145,0.2828,6.04,00:03:29,0.0207,3,US$86.09
google backpack,95,68,121,0.405,4.2,00:02:27,0,0,US$0.00
Google Merchandise,93,54,147,0.2857,5.37,00:03:23,0.0068,1,US$79.98
Google Apparel,92,76,127,0.378,4.97,00:03:11,0.0079,1,US$76.37
youtuber merch,78,76,82,0.7805,1.41,00:00:06,0,0,US$0.00
Google Swag,63,57,80,0.4125,5.1,00:04:14,0,0,US$0.00
google merch store,54,38,69,0.2899,5.09,00:02:33,0,0,US$0.00
Google Clothing,39,36,49,0.4082,3.98,00:02:43,0,0,US$0.00
,2539,1853,3457,0.3251,5.21,00:03:17,0.004,14,US$607.60
,,,,,,,,,
Day Index,Users,,,,,,,,
2019-05-01 00:00:00,93,,,,,,,,
2019-05-02 00:00:00,114,,,,,,,,
2019-05-03 00:00:00,121,,,,,,,,
2019-05-04 00:00:00,69,,,,,,,,
2019-05-05 00:00:00,75,,,,,,,,
2019-05-06 00:00:00,109,,,,,,,,
2019-05-07 00:00:00,140,,,,,,,,
2019-05-08 00:00:00,148,,,,,,,,
2019-05-09 00:00:00,167,,,,,,,,
2019-05-10 00:00:00,135,,,,,,,,
2019-05-11 00:00:00,80,,,,,,,,
2019-05-12 00:00:00,60,,,,,,,,
2019-05-13 00:00:00,149,,,,,,,,
2019-05-14 00:00:00,117,,,,,,,,
2019-05-15 00:00:00,107,,,,,,,,
2019-05-16 00:00:00,116,,,,,,,,
2019-05-17 00:00:00,101,,,,,,,,
2019-05-18 00:00:00,65,,,,,,,,
2019-05-19 00:00:00,63,,,,,,,,
2019-05-20 00:00:00,58,,,,,,,,
2019-05-21 00:00:00,15,,,,,,,,
2019-05-22 00:00:00,61,,,,,,,,
2019-05-23 00:00:00,122,,,,,,,,
2019-05-24 00:00:00,114,,,,,,,,
2019-05-25 00:00:00,84,,,,,,,,
2019-05-26 00:00:00,118,,,,,,,,
2019-05-27 00:00:00,126,,,,,,,,
2019-05-28 00:00:00,142,,,,,,,,
2019-05-29 00:00:00,64,,,,,,,,
2019-05-30 00:00:00,16,,,,,,,,
2019-05-31 00:00:00,15,,,,,,,,
,2964,,,,,,,,
